"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.238778625E0,6.338419189E0,8.137677612E0,-7.208410034E0,1.258405856E1
2.248784625E0,6.540798340E0,8.504864044E0,-6.795119476E0,1.269993717E1
2.258790625E0,6.733747101E0,8.890013123E0,-6.723268890E0,1.302221287E1
2.268796625E0,7.163802795E0,8.886121216E0,-7.355554047E0,1.357893207E1
2.278802625E0,7.560627594E0,8.718619537E0,-7.985294495E0,1.403361480E1
2.288808625E0,7.368277588E0,8.503367157E0,-7.833809509E0,1.371011813E1
2.298814625E0,6.498735809E0,8.450676727E0,-6.706952820E0,1.259486881E1
2.308820625E0,5.607938232E0,8.355923767E0,-5.085075531E0,1.127512423E1
2.318826625E0,5.153183899E0,8.360115051E0,-3.282074890E0,1.035465323E1
2.328832625E0,5.129982147E0,8.310867462E0,-1.883233795E0,9.946547357E0
2.338838625E0,5.141657867E0,8.234376526E0,-9.704319763E-1,9.756194987E0
2.348844625E0,4.820276184E0,8.185877380E0,-1.124162292E-1,9.500330962E0
2.358850625E0,4.094435577E0,8.217761078E0,1.043779449E0,9.240426147E0
2.368856625E0,3.344495087E0,8.309370575E0,2.129022675E0,9.206737983E0
2.378862625E0,2.576442261E0,8.537795563E0,2.921474762E0,9.384403155E0
2.388868625E0,1.551224213E0,8.856183472E0,3.554807739E0,9.668243910E0
2.398874625E0,7.426057434E-1,9.385782166E0,3.776945801E0,1.014444132E1
2.408880625E0,8.684939575E-1,9.857301636E0,3.434907074E0,1.047469636E1
2.418886625E0,1.603615265E0,1.022568558E1,3.024460602E0,1.078348688E1
2.428892625E0,2.196232910E0,1.058763290E1,2.846331024E0,1.118136887E1
2.438898625E0,2.824925537E0,1.081396225E1,2.721340942E0,1.150337691E1
2.448904625E0,3.116818542E0,1.110825027E1,2.167941742E0,1.173915471E1
2.458910625E0,2.725681915E0,1.133368149E1,1.171613617E0,1.171556044E1
2.468917625E0,1.550026703E0,1.112336884E1,-4.629872131E-1,1.124038586E1
2.478923625E0,3.064128113E-1,1.133428024E1,-2.450404358E0,1.160018444E1
2.488929625E0,5.721102905E-1,1.153441406E1,-4.481680298E0,1.238771473E1
2.498935625E0,1.442550201E0,1.159069702E1,-5.622308350E0,1.296285307E1
2.508941625E0,1.825903015E0,1.200817886E1,-5.575306091E0,1.336466683E1
2.518947625E0,2.271676025E0,1.255903336E1,-5.285957794E0,1.381416594E1
2.528953625E0,3.632047119E0,1.280856445E1,-5.427563324E0,1.437739661E1
2.538959625E0,4.319268036E0,1.271336243E1,-5.540428619E0,1.452521979E1
2.548965625E0,3.767365723E0,1.252101242E1,-5.483696594E0,1.417884780E1
2.558971625E0,3.115171967E0,1.227687012E1,-5.290448456E0,1.372642274E1
2.568977625E0,2.563868408E0,1.174607391E1,-5.273833008E0,1.312848004E1
2.578983625E0,2.281555481E0,1.084764221E1,-5.312003632E0,1.229203887E1
2.588989625E0,2.214195557E0,1.003049149E1,-5.248984680E0,1.153539170E1
2.598995625E0,2.005529480E0,9.477990417E0,-5.094805298E0,1.094584359E1
2.609001625E0,1.650018768E0,8.863368530E0,-4.777016144E0,1.020302636E1
2.619007625E0,1.229543152E0,7.964487762E0,-4.382137299E0,9.173220208E0
2.629013625E0,6.087840271E-1,6.730753326E0,-4.070784760E0,7.889546685E0
2.639019625E0,-6.204597473E-1,5.388793945E0,-3.795956268E0,6.620676285E0
2.649025625E0,-1.851499786E0,4.373455353E0,-3.443738708E0,5.866387259E0
2.659031625E0,-2.780617676E0,3.634292450E0,-2.909499664E0,5.422647376E0
2.669037625E0,-3.185675354E0,3.096909943E0,-2.167492676E0,4.943420188E0
2.679044625E0,-2.938539276E0,2.836002502E0,-1.254241791E0,4.272124266E0
2.689050625E0,-2.192790070E0,2.772833862E0,-4.481680298E-1,3.563395922E0
2.699056625E0,-1.362317047E0,2.862048340E0,1.770817566E-1,3.174678942E0
2.709062625E0,-9.228309631E-1,2.770139465E0,4.960684204E-1,2.961650473E0
2.719068625E0,-8.982820129E-1,2.679428101E0,6.533912659E-1,2.900545753E0
2.729074625E0,-1.226399689E0,2.580034790E0,7.268884277E-1,2.947711401E0
2.739080625E0,-1.833686829E0,2.550995178E0,6.682104492E-1,3.211929169E0
2.749086625E0,-2.312391357E0,2.565365295E0,3.689826965E-1,3.473384678E0
2.759092625E0,-2.541415100E0,2.742147675E0,6.975494385E-2,3.739389032E0
2.769098625E0,-2.521805878E0,3.133284302E0,-1.032852173E-1,4.023387035E0
2.779104625E0,-2.374362488E0,3.458408203E0,-2.908451843E-1,4.205089231E0
2.789110625E0,-2.295177155E0,3.917653198E0,-5.926176453E-1,4.578978098E0
2.799116625E0,-2.421514435E0,4.484823761E0,-1.037342834E0,5.201293732E0
2.809122625E0,-2.531685333E0,4.967569885E0,-1.509910126E0,5.776331862E0
2.819128625E0,-2.624791718E0,5.685776367E0,-2.189646606E0,6.634164357E0
2.829135625E0,-2.560575256E0,6.306236115E0,-2.997965698E0,7.437268175E0
2.839141625E0,-2.392325134E0,6.846911774E0,-3.552412720E0,8.076079279E0
2.849147625E0,-2.389630737E0,7.277566223E0,-3.941603394E0,8.614496068E0
2.859153625E0,-2.600841522E0,7.601642303E0,-3.967050476E0,8.960291949E0
2.869159625E0,-2.850372620E0,7.798932037E0,-3.563639374E0,9.035900098E0
2.879165625E0,-3.092269592E0,8.145012360E0,-3.106490021E0,9.249520951E0
2.889171625E0,-3.166066132E0,8.470136261E0,-3.049458618E0,9.542870684E0
2.899177625E0,-3.076851654E0,8.702752533E0,-3.216660919E0,9.775061392E0
2.909183625E0,-3.024759979E0,8.892857208E0,-3.362158356E0,9.976782601E0
2.919189625E0,-3.160677338E0,8.963510284E0,-3.445984039E0,1.010985677E1
2.929195625E0,-3.270099792E0,8.984317017E0,-3.477718048E0,1.017379122E1
2.939201625E0,-3.290307770E0,8.915460205E0,-3.410956879E0,1.009684023E1
2.949208625E0,-3.439697113E0,8.795110474E0,-3.193608856E0,9.969183617E0
2.959214625E0,-3.534450073E0,8.783434753E0,-3.007845154E0,9.934193267E0
2.969220625E0,-3.286266174E0,8.884774017E0,-2.934946747E0,9.917291319E0
2.979226625E0,-2.969824219E0,8.882828064E0,-2.975362701E0,9.827373683E0
2.989232625E0,-2.807711334E0,8.842262421E0,-2.973865814E0,9.742316230E0
2.999238625E0,-2.741249542E0,8.882977753E0,-2.867586823E0,9.728555751E0
3.009244625E0,-2.725382538E0,8.825048218E0,-2.812651062E0,9.655060436E0
3.019250625E0,-2.823278961E0,8.744216309E0,-2.743794250E0,9.589610515E0
3.029256625E0,-2.912643127E0,8.708141327E0,-2.657423859E0,9.559137875E0
3.039262625E0,-2.778671722E0,8.692573700E0,-2.659669189E0,9.505561228E0
3.049268625E0,-2.852318573E0,8.637787628E0,-2.808609467E0,9.520261734E0
3.059275625E0,-2.944377136E0,8.555907898E0,-3.094365234E0,9.562845439E0
3.069281625E0,-2.835254059E0,8.506660309E0,-3.382366333E0,9.583440781E0
3.079287625E0,-2.776276703E0,8.564889221E0,-3.519780579E0,9.667155477E0
3.089293625E0,-2.593806152E0,8.645571442E0,-3.609144745E0,9.721093647E0
3.099299625E0,-2.391127625E0,8.635392609E0,-3.779939575E0,9.724990489E0
3.109305625E0,-2.330354004E0,8.700507202E0,-3.826941833E0,9.786463056E0
3.119311625E0,-2.339185638E0,8.770860901E0,-3.824247437E0,9.850109586E0
3.129317625E0,-2.336640930E0,8.800499268E0,-3.803141327E0,9.867753653E0
3.139323625E0,-2.371668091E0,8.814570007E0,-3.849844208E0,9.906702497E0
3.149329625E0,-2.281405792E0,8.755293274E0,-4.057013397E0,9.915610440E0
3.159336625E0,-2.325264587E0,8.781488800E0,-4.193828888E0,1.000547858E1
3.169342625E0,-2.424358521E0,8.825048218E0,-4.248465271E0,1.009001722E1
3.179348625E0,-2.425556030E0,8.883875885E0,-4.270020447E0,1.015084466E1
3.189354625E0,-2.245480499E0,8.995992737E0,-4.252955933E0,1.020086772E1
3.199360625E0,-1.910926208E0,9.117390289E0,-4.072880402E0,1.016694642E1
3.209366625E0,-1.696721649E0,9.210047607E0,-3.827091522E0,1.011684095E1
3.219372625E0,-1.684746552E0,9.252708893E0,-3.670966187E0,1.009588954E1
3.229378625E0,-1.805096283E0,9.178912354E0,-3.632496185E0,1.003522960E1
3.239385500E0,-1.929188232E0,9.094637604E0,-3.602857819E0,9.970696307E0
